MRK,PG,JNJ,PFE,,BA,HD,CVX,XOM
-0.01809,-0.00127,0.03724,0.06709,,0.04243,0.01904,0.10113,0.06570
0.02535,-0.02300,-0.03564,0.05561,,0.02666,-0.00419,0.03605,-0.01637
0.08906,0.06231,0.10920,0.03250,,0.07913,0.00243,0.01814,0.04576
0.02225,0.03236,0.03277,0.03279,,-0.01677,-0.02342,-0.03398,-0.04588
-0.02932,-0.05119,-0.01144,-0.03963,,-0.05254,0.00585,-0.01973,-0.02504
-0.03287,-0.02480,-0.02601,-0.06553,,-0.04680,-0.03562,0.01147,-0.01954
-0.03018,0.03562,0.02464,-0.00303,,-0.04479,-0.03729,-0.04219,-0.06619
-0.00021,-0.00785,-0.03207,-0.06849,,-0.09497,-0.01528,-0.06323,-0.01878
0.05505,0.02108,0.01099,0.08937,,0.08726,0.08914,0.13457,0.07518
0.03623,0.00906,0.01445,0.05254,,0.05074,0.10412,-0.01349,0.03623
0.06720,0.03314,0.01329,0.07823,,0.06784,0.07190,0.03482,0.05370
0.01512,-0.04747,0.00503,-0.01109,,0.01132,0.05590,-0.03083,-0.01203
-0.00261,0.07265,-0.00387,-0.00236,,0.01633,0.07164,0.06630,0.03861
0.01724,-0.00606,0.01352,0.07194,,-0.00774,0.06411,-0.01750,0.00266
0.02187,-0.04511,-0.01304,0.01104,,0.03267,0.02942,-0.00606,-0.00450
-0.04230,-0.02121,-0.03168,-0.03551,,-0.08830,-0.04169,-0.06912,-0.08302
0.12310,-0.01670,0.08217,0.05167,,0.06738,0.07398,0.07314,0.08826
0.05796,0.06285,0.02457,0.04522,,-0.00525,-0.01529,0.03867,0.01496
-0.02536,0.04106,-0.01701,0.00168,,-0.02817,0.09318,0.03174,0.01171
0.05759,0.03230,0.02195,0.04149,,-0.02521,0.06379,0.03923,0.04754
0.01175,0.00647,0.02772,0.00080,,0.01207,0.01673,-0.05422,-0.00306
-0.02915,0.00852,-0.00668,0.01507,,0.06100,0.06489,-0.03301,-0.02718
-0.06698,-0.02778,0.00531,0.00240,,0.01454,-0.04949,0.02318,-0.01804
0.05642,0.11606,0.05449,0.09723,,-0.01977,0.08197,0.06482,0.03951
-0.01202,0.01357,0.03786,0.00330,,0.04770,0.02361,0.02529,0.00169
0.04437,0.01155,0.07121,0.05444,,0.11638,0.02429,0.01426,0.00625
0.06335,0.00356,0.04538,0.00728,,0.06476,0.05116,0.02685,-0.01243
-0.00638,-0.00013,-0.00490,-0.05549,,0.08882,0.07239,0.01418,0.02366
0.00378,0.00300,0.01996,0.02864,,0.03454,-0.01025,-0.03593,-0.00133
0.03703,0.05081,0.08898,0.05207,,0.02597,0.02014,0.06380,0.03763
-0.01827,-0.03001,-0.06887,-0.03490,,-0.00673,-0.05745,-0.03547,-0.06387
0.01584,-0.02953,0.00324,0.01843,,0.13068,0.02362,0.00888,-0.01285
-0.05293,0.07662,0.06829,0.06822,,0.11064,0.02690,-0.01267,0.04161
0.10512,0.04297,0.02927,0.04189,,0.03248,0.03569,0.02924,0.05017
0.01353,-0.03336,-0.03243,-0.03467,,0.01669,0.02572,0.02017,0.08258
0.05834,-0.05172,-0.03406,-0.00751,,-0.08228,-0.06667,-0.10632,-0.08933
0.07589,0.02662,0.04875,0.06506,,0.03502,0.06740,0.04232,0.05199
0.00392,0.02466,0.06633,0.00031,,-0.02661,-0.02980,0.03104,0.01465
0.03153,0.03238,0.03115,-0.02615,,0.02813,0.00480,0.05559,0.04842
-0.01195,-0.02132,0.00866,-0.04431,,0.05417,0.00906,-0.01340,-0.01169
0.00736,-0.02723,0.03115,0.00169,,-0.05930,0.01500,0.06320,0.00149
-0.01919,-0.00830,-0.04330,-0.02449,,-0.05305,-0.00136,-0.01003,-0.01728
0.05939,0.07488,0.04338,0.02404,,0.05883,0.15646,0.01014,0.01226
-0.00661,0.00758,0.02757,0.00612,,0.00457,-0.01387,-0.07825,-0.05439
-0.02260,0.05015,0.01116,0.01285,,-0.01939,0.06300,0.00528,0.02828
0.04246,0.03621,0.01090,0.04907,,0.08193,0.01928,-0.08395,-0.05704
-0.05266,0.00730,-0.03400,0.00000,,-0.03260,0.06108,0.03040,0.02110
0.06145,-0.06807,-0.04236,0.00321,,0.11840,-0.00524,-0.08602,-0.05441
-0.02887,0.00997,0.03083,0.10793,,0.04412,0.09893,0.05070,0.02044
-0.01016,-0.03747,-0.01863,0.01369,,-0.00510,-0.00484,-0.01594,-0.03998
0.03619,-0.02185,-0.01392,-0.02472,,-0.04491,-0.05836,0.05792,0.02788
0.02233,-0.01409,0.01684,0.03264,,-0.01339,0.04150,-0.06333,-0.01677
-0.05792,-0.00191,-0.02676,-0.03511,,-0.01281,0.00269,-0.06340,-0.02347
0.03566,-0.01166,0.02822,0.07545,,0.03929,0.05309,-0.08282,-0.04796
-0.08667,-0.07862,-0.05500,-0.09951,,-0.08779,-0.00487,-0.07312,-0.04123
-0.07493,0.01797,-0.00670,-0.02514,,0.00207,-0.00328,-0.02605,-0.01183
0.10670,0.07126,0.08227,0.07673,,0.13074,0.07057,0.15213,0.11284
-0.03019,-0.02016,0.00947,-0.02323,,-0.01162,0.08282,0.01711,-0.00445
0.00503,0.06106,0.01462,-0.01495,,-0.00591,-0.00780,-0.01489,-0.04543
-0.04070,0.03768,0.01674,-0.05545,,-0.16917,-0.04907,-0.03879,-0.00128
