Customer,Type of Customer,Items,Net Sales,Method of Payment,Gender,Marital Status,Age
1,Regular,1,39.5,Discover,Male,Married,32
2,Promotional,1,102.4,Proprietary Card,Female,Married,36
3,Regular,1,22.5,Proprietary Card,Female,Married,32
4,Promotional,5,100.4,Proprietary Card,Female,Married,28
5,Regular,2,54,MasterCard,Female,Married,34
6,Regular,1,44.5,MasterCard,Female,Married,44
7,Promotional,2,78,Proprietary Card,Female,Married,30
8,Regular,1,22.5,Visa,Female,Married,40
9,Promotional,2,56.52,Proprietary Card,Female,Married,46
10,Regular,1,44.5,Proprietary Card,Female,Married,36
11,Regular,1,29.5,Proprietary Card,Female,Married,48
12,Promotional,1,31.6,Proprietary Card,Female,Married,40
13,Promotional,9,160.4,Visa,Female,Married,40
14,Promotional,2,64.5,Visa,Female,Married,46
15,Regular,1,49.5,Visa,Male,Single,24
16,Promotional,2,71.4,Proprietary Card,Male,Single,36
17,Promotional,3,94,Proprietary Card,Female,Single,22
18,Regular,3,54.5,Discover,Female,Married,40
19,Promotional,2,38.5,MasterCard,Female,Married,32
20,Promotional,6,44.8,Proprietary Card,Female,Married,56
21,Promotional,1,31.6,Proprietary Card,Female,Single,28
22,Promotional,4,70.82,Proprietary Card,Female,Married,38
23,Promotional,7,266,American Express,Female,Married,50
24,Regular,2,74,Proprietary Card,Female,Married,42
25,Promotional,2,39.5,Visa,Male,Married,48
26,Promotional,1,30.02,Proprietary Card,Female,Married,60
27,Regular,1,44.5,Proprietary Card,Female,Married,54
28,Promotional,5,192.8,Proprietary Card,Female,Single,42
29,Promotional,3,71.2,Proprietary Card,Female,Married,32
30,Promotional,1,18,Proprietary Card,Female,Married,70
31,Promotional,2,63.2,MasterCard,Female,Married,28
32,Regular,1,75,Proprietary Card,Female,Married,52
33,Promotional,3,63.2,Proprietary Card,Female,Married,44
34,Regular,1,40,Proprietary Card,Female,Married,34
35,Promotional,5,105.5,MasterCard,Female,Married,56
36,Regular,1,29.5,MasterCard,Male,Single,36
37,Regular,2,102.5,Visa,Female,Single,42
38,Promotional,6,117.5,Proprietary Card,Female,Married,50
39,Promotional,5,13.23,Proprietary Card,Female,Married,44
40,Regular,2,52.5,Proprietary Card,Female,Married,58
41,Promotional,13,198.8,Proprietary Card,Female,Married,42
42,Promotional,4,19.5,Visa,Female,Married,46
43,Regular,2,123.5,Proprietary Card,Female,Married,48
44,Promotional,1,62.4,Proprietary Card,Female,Married,54
45,Promotional,2,23.8,Proprietary Card,Female,Married,38
46,Promotional,2,39.6,Proprietary Card,Female,Married,60
47,Regular,1,25,MasterCard,Female,Married,46
48,Promotional,3,63.64,Proprietary Card,Female,Married,30
49,Promotional,1,14.82,Proprietary Card,Female,Married,32
50,Promotional,9,145.2,MasterCard,Female,Married,46
51,Promotional,6,176.62,Proprietary Card,Female,Married,38
52,Promotional,5,118.8,Proprietary Card,Male,Married,68
53,Regular,1,58,Discover,Female,Single,78
54,Regular,2,74,Visa,Female,Single,20
55,Regular,2,49.5,MasterCard,Female,Married,32
56,Promotional,3,141.6,Proprietary Card,Female,Married,38
57,Promotional,6,123.1,Proprietary Card,Female,Married,54
58,Promotional,2,80.4,Proprietary Card,Female,Married,48
59,Promotional,4,65.2,MasterCard,Female,Married,46
60,Promotional,4,113,Proprietary Card,Female,Single,50
61,Promotional,1,108.8,Proprietary Card,Female,Married,46
62,Promotional,3,59.91,Proprietary Card,Female,Single,30
63,Promotional,5,53.6,Proprietary Card,Female,Married,54
64,Promotional,1,31.6,Proprietary Card,Female,Single,42
65,Promotional,2,49.5,Proprietary Card,Female,Married,48
66,Promotional,1,39.6,Proprietary Card,Female,Married,62
67,Promotional,2,59.5,Proprietary Card,Female,Married,34
68,Promotional,5,146.8,Proprietary Card,Female,Married,28
69,Promotional,2,47.2,Proprietary Card,Male,Married,46
70,Promotional,8,95.05,Proprietary Card,Female,Married,54
71,Promotional,5,155.32,Proprietary Card,Female,Married,30
72,Promotional,4,58,MasterCard,Female,Married,32
73,Regular,1,69,Proprietary Card,Female,Single,22
74,Promotional,2,46.5,Proprietary Card,Female,Married,32
75,Promotional,2,45.22,Proprietary Card,Female,Married,74
76,Promotional,4,84.74,Proprietary Card,Female,Married,62
77,Regular,2,39,Proprietary Card,Female,Married,42
78,Promotional,4,111.14,Proprietary Card,Female,Married,28
79,Promotional,3,86.8,Proprietary Card,Female,Married,38
80,Regular,2,89,Discover,Female,Married,54
81,Promotional,2,78,MasterCard,Female,Married,68
82,Promotional,6,53.2,Proprietary Card,Female,Single,30
83,Promotional,4,58.5,Visa,Female,Married,36
84,Promotional,3,46,Proprietary Card,Female,Married,44
85,Regular,2,37.5,Visa,Female,Married,44
86,Promotional,1,20.8,Proprietary Card,Female,Married,62
87,Regular,6,144,MasterCard,Female,Single,48
88,Regular,4,107,Proprietary Card,Female,Married,36
89,Promotional,1,31.6,Proprietary Card,Female,Single,20
90,Promotional,6,57.6,Proprietary Card,Female,Married,42
91,Promotional,4,95.2,Proprietary Card,Female,Married,54
92,Promotional,1,22.42,Proprietary Card,Female,Married,54
93,Regular,5,159.75,Proprietary Card,Female,Married,72
94,Promotional,17,229.5,Proprietary Card,Female,Married,30
95,Regular,3,66,American Express,Female,Married,46
96,Regular,1,39.5,MasterCard,Female,Married,44
97,Promotional,9,253,Proprietary Card,Female,Married,30
98,Promotional,10,287.59,Proprietary Card,Female,Married,52
99,Promotional,2,47.6,Proprietary Card,Female,Married,30
100,Promotional,1,28.44,Proprietary Card,Female,Married,44
